@relation avila-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last-precision6-unset-class-temporarily

@attribute F1 {'\'(-inf--1.966928]\'','\'(-1.966928--0.435056]\'','\'(-0.435056-1.096815]\'','\'(1.096815-2.628687]\'','\'(2.628687-4.160558]\'','\'(4.160558-5.69243]\'','\'(5.69243-inf)\''}
@attribute F2 {'\'All\''}
@attribute F3 {'\'All\''}
@attribute F4 {'\'(-inf--4.497395]\'','\'(-4.497395--3.554667]\'','\'(-3.554667--2.61194]\'','\'(-2.61194--1.669212]\'','\'(-1.669212--0.726485]\'','\'(-0.726485-0.216242]\'','\'(0.216242-1.15897]\'','\'(1.15897-2.101697]\'','\'(2.101697-inf)\''}
@attribute F5 {'\'(-inf--4.323381]\'','\'(-4.323381--3.724548]\'','\'(-3.724548--3.125714]\'','\'(-3.125714--2.526881]\'','\'(-2.526881--1.928047]\'','\'(-1.928047--1.329213]\'','\'(-1.329213--0.73038]\'','\'(-0.73038--0.131546]\'','\'(-0.131546-0.467287]\'','\'(0.467287-inf)\''}
@attribute F6 {'\'All\''}
@attribute F7 {'\'All\''}
@attribute F8 {'\'(-inf--2.505695]\'','\'(-2.505695-inf)\''}
@attribute F9 {'\'All\''}
@attribute F10 {'\'(-inf--4.856258]\'','\'(-4.856258--2.993192]\'','\'(-2.993192--1.130125]\'','\'(-1.130125-inf)\''}
@attribute class {A,B,C,D,E,F,G,H,I,W,X,Y}

@data
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-1.669212--0.726485]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-1.669212--0.726485]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',H
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(0.216242-1.15897]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',F
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(0.216242-1.15897]\'','\'(0.467287-inf)\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',I
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',E
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-1.669212--0.726485]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-2.61194--1.669212]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',E
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(1.15897-2.101697]\'','\'(-0.73038--0.131546]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',F
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(0.216242-1.15897]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(0.216242-1.15897]\'','\'(0.467287-inf)\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',I
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(0.216242-1.15897]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(0.216242-1.15897]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-1.966928--0.435056]\'','\'All\'','\'All\'','\'(0.216242-1.15897]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',E
'\'(1.096815-2.628687]\'','\'All\'','\'All\'','\'(0.216242-1.15897]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(0.216242-1.15897]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',F
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',G
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(0.467287-inf)\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',I
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(0.216242-1.15897]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',F
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-1.669212--0.726485]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',F
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(1.15897-2.101697]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-2.61194--1.669212]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(1.096815-2.628687]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(-3.125714--2.526881]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(0.216242-1.15897]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',E
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(0.216242-1.15897]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',F
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(0.216242-1.15897]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',F
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-1.669212--0.726485]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',F
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',E
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',H
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(0.216242-1.15897]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(0.216242-1.15897]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',F
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(0.216242-1.15897]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(1.15897-2.101697]\'','\'(-1.329213--0.73038]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',E
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-1.669212--0.726485]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',D
'\'(-inf--1.966928]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(-inf--4.323381]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(1.15897-2.101697]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',E
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-1.669212--0.726485]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',X
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-2.61194--1.669212]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',F
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(0.216242-1.15897]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(0.216242-1.15897]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',G
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(0.216242-1.15897]\'','\'(0.467287-inf)\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',I
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(0.216242-1.15897]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',F
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-1.669212--0.726485]\'','\'(-1.329213--0.73038]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(0.467287-inf)\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',I
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(1.15897-2.101697]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',X
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-1.669212--0.726485]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',F
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-1.669212--0.726485]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',D
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(0.216242-1.15897]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(0.216242-1.15897]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',G
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(0.467287-inf)\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',Y
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(0.216242-1.15897]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',E
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(0.216242-1.15897]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',F
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(0.467287-inf)\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',I
'\'(-inf--1.966928]\'','\'All\'','\'All\'','\'(-2.61194--1.669212]\'','\'(-1.329213--0.73038]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(0.216242-1.15897]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-1.669212--0.726485]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',F
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(-1.928047--1.329213]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',E
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(0.216242-1.15897]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-1.669212--0.726485]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',F
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(2.628687-4.160558]\'','\'All\'','\'All\'','\'(-2.61194--1.669212]\'','\'(0.467287-inf)\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',I
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',F
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',D
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',F
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(1.15897-2.101697]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-inf--1.966928]\'','\'All\'','\'All\'','\'(-1.669212--0.726485]\'','\'(-3.125714--2.526881]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-2.993192--1.130125]\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(1.15897-2.101697]\'','\'(0.467287-inf)\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',Y
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',H
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(0.216242-1.15897]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',F
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(0.216242-1.15897]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(5.69243-inf)\'','\'All\'','\'All\'','\'(-3.554667--2.61194]\'','\'(-3.125714--2.526881]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-2.993192--1.130125]\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-1.669212--0.726485]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',E
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',F
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(2.101697-inf)\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',X
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(0.216242-1.15897]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',E
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(0.216242-1.15897]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',H
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(0.216242-1.15897]\'','\'(-1.329213--0.73038]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-2.993192--1.130125]\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-2.61194--1.669212]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',F
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(0.216242-1.15897]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(2.101697-inf)\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',X
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',H
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(0.216242-1.15897]\'','\'(0.467287-inf)\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',I
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(1.15897-2.101697]\'','\'(-1.329213--0.73038]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',E
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',G
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(0.216242-1.15897]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-1.669212--0.726485]\'','\'(-1.329213--0.73038]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',G
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(0.216242-1.15897]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',F
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(-1.928047--1.329213]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(-1.329213--0.73038]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',F
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(1.15897-2.101697]\'','\'(0.467287-inf)\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',Y
'\'(-inf--1.966928]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(-inf--4.323381]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(0.216242-1.15897]\'','\'(0.467287-inf)\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',I
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-1.669212--0.726485]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',E
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-0.726485-0.216242]\'','\'(-1.329213--0.73038]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',G
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(0.216242-1.15897]\'','\'(-0.131546-0.467287]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',E
'\'(-0.435056-1.096815]\'','\'All\'','\'All\'','\'(-3.554667--2.61194]\'','\'(-2.526881--1.928047]\'','\'All\'','\'All\'','\'(-2.505695-inf)\'','\'All\'','\'(-1.130125-inf)\'',A
